,pos,left,right,up,down
0,"(2, 2)",,"(3, 2)",,"(2, 3)"
1,"(2, 3)",,,"(2, 2)","(2, 4)"
2,"(2, 4)",,,"(2, 3)","(2, 5)"
3,"(2, 5)",,,"(2, 4)","(2, 6)"
4,"(2, 6)",,"(3, 6)","(2, 5)",
5,"(2, 8)",,"(3, 8)",,"(2, 9)"
6,"(2, 9)",,"(3, 9)","(2, 8)","(2, 10)"
7,"(2, 10)",,"(3, 10)","(2, 9)",
8,"(3, 2)","(2, 2)","(4, 2)",,
9,"(3, 6)","(2, 6)","(4, 6)",,
10,"(3, 8)","(2, 8)","(4, 8)",,"(3, 9)"
11,"(3, 9)","(2, 9)","(4, 9)","(3, 8)","(3, 10)"
12,"(3, 10)","(2, 10)","(4, 10)","(3, 9)",
13,"(4, 2)","(3, 2)","(5, 2)",,
14,"(4, 4)",,"(5, 4)",,"(4, 5)"
15,"(4, 5)",,,"(4, 4)","(4, 6)"
16,"(4, 6)","(3, 6)","(5, 6)","(4, 5)",
17,"(4, 8)","(3, 8)","(5, 8)",,"(4, 9)"
18,"(4, 9)","(3, 9)","(5, 9)","(4, 8)","(4, 10)"
19,"(4, 10)","(3, 10)","(5, 10)","(4, 9)",
20,"(5, 2)","(4, 2)",,,"(5, 3)"
21,"(5, 3)",,,"(5, 2)","(5, 4)"
22,"(5, 4)","(4, 4)","(6, 4)","(5, 3)",
23,"(5, 6)","(4, 6)","(6, 6)",,
24,"(5, 8)","(4, 8)","(6, 8)",,"(5, 9)"
25,"(5, 9)","(4, 9)","(6, 9)","(5, 8)","(5, 10)"
26,"(5, 10)","(4, 10)","(6, 10)","(5, 9)",
27,"(6, 4)","(5, 4)","(7, 4)",,
28,"(6, 6)","(5, 6)","(7, 6)",,
29,"(6, 8)","(5, 8)","(7, 8)",,"(6, 9)"
30,"(6, 9)","(5, 9)","(7, 9)","(6, 8)","(6, 10)"
31,"(6, 10)","(5, 10)","(7, 10)","(6, 9)",
