,pos,left,right,up,down
0,"(1, 14)","(28, 14)","(2, 14)",,
1,"(2, 2)",,"(3, 2)",,"(2, 3)"
2,"(2, 3)",,,"(2, 2)","(2, 4)"
3,"(2, 4)",,,"(2, 3)","(2, 5)"
4,"(2, 5)",,,"(2, 4)","(2, 6)"
5,"(2, 6)",,"(3, 6)","(2, 5)","(2, 7)"
6,"(2, 7)",,,"(2, 6)","(2, 8)"
7,"(2, 8)",,,"(2, 7)","(2, 9)"
8,"(2, 9)",,"(3, 9)","(2, 8)",
9,"(2, 14)","(1, 14)","(3, 14)",,
10,"(2, 18)",,"(3, 18)",,"(2, 19)"
11,"(2, 19)",,,"(2, 18)","(2, 20)"
12,"(2, 20)",,,"(2, 19)","(2, 21)"
13,"(2, 21)",,"(3, 21)","(2, 20)",
14,"(2, 24)",,"(3, 24)",,"(2, 25)"
15,"(2, 25)",,,"(2, 24)","(2, 26)"
16,"(2, 26)",,"(3, 26)","(2, 25)",
17,"(3, 2)","(2, 2)","(4, 2)",,
18,"(3, 6)","(2, 6)","(4, 6)",,
19,"(3, 9)","(2, 9)","(4, 9)",,
20,"(3, 14)","(2, 14)","(4, 14)",,
21,"(3, 18)","(2, 18)","(4, 18)",,
22,"(3, 21)","(2, 21)","(4, 21)",,
23,"(3, 24)","(2, 24)","(4, 24)",,
24,"(3, 26)","(2, 26)","(4, 26)",,
25,"(4, 2)","(3, 2)","(5, 2)",,
26,"(4, 6)","(3, 6)","(5, 6)",,
27,"(4, 9)","(3, 9)","(5, 9)",,
28,"(4, 14)","(3, 14)","(5, 14)",,
29,"(4, 18)","(3, 18)","(5, 18)",,
30,"(4, 21)","(3, 21)",,,"(4, 22)"
31,"(4, 22)",,,"(4, 21)","(4, 23)"
32,"(4, 23)",,,"(4, 22)","(4, 24)"
33,"(4, 24)","(3, 24)","(5, 24)","(4, 23)",
34,"(4, 26)","(3, 26)","(5, 26)",,
35,"(5, 2)","(4, 2)","(6, 2)",,
36,"(5, 6)","(4, 6)","(6, 6)",,
37,"(5, 9)","(4, 9)","(6, 9)",,
38,"(5, 14)","(4, 14)","(6, 14)",,
39,"(5, 18)","(4, 18)","(6, 18)",,
40,"(5, 24)","(4, 24)","(6, 24)",,
41,"(5, 26)","(4, 26)","(6, 26)",,
42,"(6, 2)","(5, 2)","(7, 2)",,
43,"(6, 6)","(5, 6)","(7, 6)",,
44,"(6, 9)","(5, 9)","(7, 9)",,
45,"(6, 14)","(5, 14)","(7, 14)",,
46,"(6, 18)","(5, 18)","(7, 18)",,
47,"(6, 24)","(5, 24)","(7, 24)",,
48,"(6, 26)","(5, 26)","(7, 26)",,
49,"(7, 2)","(6, 2)","(8, 2)",,"(7, 3)"
50,"(7, 3)",,,"(7, 2)","(7, 4)"
51,"(7, 4)",,,"(7, 3)","(7, 5)"
52,"(7, 5)",,,"(7, 4)","(7, 6)"
53,"(7, 6)","(6, 6)","(8, 6)","(7, 5)","(7, 7)"
54,"(7, 7)",,,"(7, 6)","(7, 8)"
55,"(7, 8)",,,"(7, 7)","(7, 9)"
56,"(7, 9)","(6, 9)",,"(7, 8)","(7, 10)"
57,"(7, 10)",,,"(7, 9)","(7, 11)"
58,"(7, 11)",,,"(7, 10)","(7, 12)"
59,"(7, 12)",,,"(7, 11)","(7, 13)"
60,"(7, 13)",,,"(7, 12)","(7, 14)"
