,pos,left,right,up,down
0,"(2, 2)",,"(3, 2)",,"(2, 3)"
1,"(2, 3)",,,"(2, 2)","(2, 4)"
2,"(2, 4)",,,"(2, 3)","(2, 5)"
3,"(2, 5)",,,"(2, 4)","(2, 6)"
4,"(2, 6)",,"(3, 6)","(2, 5)",
5,"(3, 2)","(2, 2)","(4, 2)",,
6,"(3, 6)","(2, 6)","(4, 6)",,
7,"(4, 2)","(3, 2)","(5, 2)",,
8,"(4, 4)",,"(5, 4)",,
9,"(4, 6)","(3, 6)","(5, 6)",,
10,"(5, 2)","(4, 2)","(6, 2)",,
11,"(5, 4)","(4, 4)","(6, 4)",,
12,"(5, 6)","(4, 6)","(6, 6)",,
13,"(6, 2)","(5, 2)",,,"(6, 3)"
14,"(6, 3)",,,"(6, 2)","(6, 4)"
15,"(6, 4)","(5, 4)",,"(6, 3)","(6, 5)"
16,"(6, 5)",,,"(6, 4)","(6, 6)"
17,"(6, 6)","(5, 6)",,"(6, 5)",
