,pos1,pos2,dis,path,relative_dir
0,"(2, 2)","(2, 3)",1,"[[(2, 2), (2, 3)]]",
1,"(2, 2)","(2, 4)",2,"[[(2, 2), (2, 3), (2, 4)]]",
2,"(2, 2)","(2, 5)",3,"[[(2, 2), (2, 3), (2, 4), (2, 5)]]",
3,"(2, 2)","(2, 6)",4,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6)]]",
4,"(2, 2)","(2, 7)",5,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7)]]",
5,"(2, 2)","(2, 8)",6,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8)]]",
6,"(2, 2)","(2, 9)",7,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9)]]",
7,"(2, 2)","(2, 10)",8,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10)]]",
8,"(2, 2)","(3, 2)",1,"[[(2, 2), (3, 2)]]",['right']
9,"(2, 2)","(3, 6)",5,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6)]]","['right', 'down']"
10,"(2, 2)","(3, 10)",9,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10)]]","['right', 'down']"
11,"(2, 2)","(4, 2)",2,"[[(2, 2), (3, 2), (4, 2)]]",['right']
12,"(2, 2)","(4, 4)",6,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (4, 4)]]","['right', 'down']"
13,"(2, 2)","(4, 5)",7,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (4, 4), (4, 5)], [(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 5)]]","['right', 'down']"
14,"(2, 2)","(4, 6)",6,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6)]]","['right', 'down']"
15,"(2, 2)","(4, 7)",7,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7)]]","['right', 'down']"
16,"(2, 2)","(4, 8)",8,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8)]]","['right', 'down']"
17,"(2, 2)","(4, 10)",10,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10), (4, 10)]]","['right', 'down']"
18,"(2, 2)","(5, 2)",3,"[[(2, 2), (3, 2), (4, 2), (5, 2)]]",['right']
19,"(2, 2)","(5, 3)",4,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3)]]","['right', 'down']"
20,"(2, 2)","(5, 4)",5,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4)]]","['right', 'down']"
21,"(2, 2)","(5, 6)",7,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6)]]","['right', 'down']"
22,"(2, 2)","(5, 8)",9,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (5, 8)]]","['right', 'down']"
23,"(2, 2)","(5, 9)",10,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9)]]","['right', 'down']"
24,"(2, 2)","(5, 10)",11,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (5, 8), (5, 9), (5, 10)], [(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10), (4, 10), (5, 10)]]","['right', 'down']"
25,"(2, 2)","(6, 4)",6,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4)]]","['right', 'down']"
26,"(2, 2)","(6, 6)",8,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6)]]","['right', 'down']"
27,"(2, 2)","(6, 8)",10,"[[(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (5, 8), (6, 8)]]","['right', 'down']"
28,"(2, 2)","(7, 2)",9,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 3), (7, 2)]]",['right']
29,"(2, 2)","(7, 3)",8,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 3)]]","['right', 'down']"
30,"(2, 2)","(7, 4)",7,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4)]]","['right', 'down']"
31,"(2, 2)","(7, 5)",8,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5)]]","['right', 'down']"
32,"(2, 2)","(7, 6)",9,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6)], [(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6)]]","['right', 'down']"
33,"(2, 2)","(7, 7)",10,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (7, 7)], [(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (7, 7)]]","['right', 'down']"
34,"(2, 2)","(7, 8)",11,"[[(2, 2), (3, 2), (4, 2), (5, 2), (5, 3), (5, 4), (6, 4), (7, 4), (7, 5), (7, 6), (7, 7), (7, 8)], [(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (5, 6), (6, 6), (7, 6), (7, 7), (7, 8)], [(2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (3, 6), (4, 6), (4, 7), (4, 8), (5, 8), (6, 8), (7, 8)]]","['right', 'down']"
