,Pos1,Pos2,iswall,NextNum,UpX,UpY,DownX,DownY,LeftX,LeftY,RightX,RightY
0,1,1,1,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0
3,1,4,1,0,0,0,0,0,0,0,0,0
4,1,5,1,0,0,0,0,0,0,0,0,0
5,1,6,1,0,0,0,0,0,0,0,0,0
6,1,7,1,0,0,0,0,0,0,0,0,0
7,2,1,1,0,0,0,0,0,0,0,0,0
8,2,2,0,2,0,0,2,3,0,0,3,2
9,2,3,0,2,2,2,2,4,0,0,0,0
10,2,4,0,2,2,3,2,5,0,0,0,0
11,2,5,0,2,2,4,2,6,0,0,0,0
12,2,6,0,2,2,5,0,0,0,0,3,6
13,2,7,1,0,0,0,0,0,0,0,0,0
14,3,1,1,0,0,0,0,0,0,0,0,0
15,3,2,0,2,0,0,0,0,2,2,4,2
16,3,3,1,0,0,0,0,0,0,0,0,0
17,3,4,1,0,0,0,0,0,0,0,0,0
18,3,5,1,0,0,0,0,0,0,0,0,0
19,3,6,0,2,0,0,0,0,2,6,4,6
20,3,7,1,0,0,0,0,0,0,0,0,0
21,4,1,1,0,0,0,0,0,0,0,0,0
22,4,2,0,2,0,0,0,0,3,2,5,2
23,4,3,1,0,0,0,0,0,0,0,0,0
24,4,4,0,1,0,0,0,0,0,0,5,4
25,4,5,1,0,0,0,0,0,0,0,0,0
26,4,6,0,2,0,0,0,0,3,6,5,6
27,4,7,1,0,0,0,0,0,0,0,0,0
28,5,1,1,0,0,0,0,0,0,0,0,0
29,5,2,0,2,0,0,0,0,4,2,6,2
30,5,3,1,0,0,0,0,0,0,0,0,0
31,5,4,0,2,0,0,0,0,4,4,6,4
32,5,5,1,0,0,0,0,0,0,0,0,0
33,5,6,0,2,0,0,0,0,4,6,6,6
34,5,7,1,0,0,0,0,0,0,0,0,0
35,6,1,1,0,0,0,0,0,0,0,0,0
36,6,2,0,2,0,0,6,3,5,2,0,0
37,6,3,0,2,6,2,6,4,0,0,0,0
38,6,4,0,3,6,3,6,5,5,4,0,0
39,6,5,0,2,6,4,6,6,0,0,0,0
40,6,6,0,2,6,5,0,0,5,6,0,0
41,6,7,1,0,0,0,0,0,0,0,0,0
42,7,1,1,0,0,0,0,0,0,0,0,0
43,7,2,1,0,0,0,0,0,0,0,0,0
44,7,3,1,0,0,0,0,0,0,0,0,0
45,7,4,1,0,0,0,0,0,0,0,0,0
46,7,5,1,0,0,0,0,0,0,0,0,0
47,7,6,1,0,0,0,0,0,0,0,0,0
48,7,7,1,0,0,0,0,0,0,0,0,0
