,Pos1,Pos2,iswall,NextNum,UpX,UpY,DownX,DownY,LeftX,LeftY,RightX,RightY
0,1,1,1,0,0,0,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0
2,1,3,1,0,0,0,0,0,0,0,0,0
3,1,4,1,0,0,0,0,0,0,0,0,0
4,1,5,1,0,0,0,0,0,0,0,0,0
5,1,6,1,0,0,0,0,0,0,0,0,0
6,1,7,1,0,0,0,0,0,0,0,0,0
7,1,8,1,0,0,0,0,0,0,0,0,0
8,1,9,1,0,0,0,0,0,0,0,0,0
9,1,10,1,0,0,0,0,0,0,0,0,0
10,1,11,1,0,0,0,0,0,0,0,0,0
11,1,12,1,0,0,0,0,0,0,0,0,0
12,1,13,1,0,0,0,0,0,0,0,0,0
13,1,14,0,2,0,0,0,0,28,14,2,14
14,1,15,1,0,0,0,0,0,0,0,0,0
15,1,16,1,0,0,0,0,0,0,0,0,0
16,1,17,1,0,0,0,0,0,0,0,0,0
17,1,18,1,0,0,0,0,0,0,0,0,0
18,1,19,1,0,0,0,0,0,0,0,0,0
19,1,20,1,0,0,0,0,0,0,0,0,0
20,1,21,1,0,0,0,0,0,0,0,0,0
21,1,22,1,0,0,0,0,0,0,0,0,0
22,1,23,1,0,0,0,0,0,0,0,0,0
23,1,24,1,0,0,0,0,0,0,0,0,0
24,1,25,1,0,0,0,0,0,0,0,0,0
25,1,26,1,0,0,0,0,0,0,0,0,0
26,1,27,1,0,0,0,0,0,0,0,0,0
27,2,1,1,0,0,0,0,0,0,0,0,0
28,2,2,0,2,0,0,2,3,0,0,3,2
29,2,3,0,2,2,2,2,4,0,0,0,0
30,2,4,0,2,2,3,2,5,0,0,0,0
31,2,5,0,2,2,4,2,6,0,0,0,0
32,2,6,0,3,2,5,2,7,0,0,3,6
33,2,7,0,2,2,6,2,8,0,0,0,0
34,2,8,0,2,2,7,2,9,0,0,0,0
35,2,9,0,2,2,8,0,0,0,0,3,9
36,2,10,1,0,0,0,0,0,0,0,0,0
37,2,11,1,0,0,0,0,0,0,0,0,0
38,2,12,1,0,0,0,0,0,0,0,0,0
39,2,13,1,0,0,0,0,0,0,0,0,0
40,2,14,0,2,0,0,0,0,1,14,3,14
41,2,15,1,0,0,0,0,0,0,0,0,0
42,2,16,1,0,0,0,0,0,0,0,0,0
43,2,17,1,0,0,0,0,0,0,0,0,0
44,2,18,0,2,0,0,2,19,0,0,3,18
45,2,19,0,2,2,18,2,20,0,0,0,0
46,2,20,0,2,2,19,2,21,0,0,0,0
47,2,21,0,2,2,20,0,0,0,0,3,21
48,2,22,1,0,0,0,0,0,0,0,0,0
49,2,23,1,0,0,0,0,0,0,0,0,0
50,2,24,0,2,0,0,2,25,0,0,3,24
51,2,25,0,2,2,24,2,26,0,0,0,0
52,2,26,0,2,2,25,0,0,0,0,3,26
53,2,27,1,0,0,0,0,0,0,0,0,0
54,3,1,1,0,0,0,0,0,0,0,0,0
55,3,2,0,2,0,0,0,0,2,2,4,2
56,3,3,1,0,0,0,0,0,0,0,0,0
57,3,4,1,0,0,0,0,0,0,0,0,0
58,3,5,1,0,0,0,0,0,0,0,0,0
59,3,6,0,2,0,0,0,0,2,6,4,6
60,3,7,1,0,0,0,0,0,0,0,0,0
61,3,8,1,0,0,0,0,0,0,0,0,0
62,3,9,0,2,0,0,0,0,2,9,4,9
63,3,10,1,0,0,0,0,0,0,0,0,0
64,3,11,1,0,0,0,0,0,0,0,0,0
65,3,12,1,0,0,0,0,0,0,0,0,0
66,3,13,1,0,0,0,0,0,0,0,0,0
67,3,14,0,2,0,0,0,0,2,14,4,14
68,3,15,1,0,0,0,0,0,0,0,0,0
69,3,16,1,0,0,0,0,0,0,0,0,0
70,3,17,1,0,0,0,0,0,0,0,0,0
71,3,18,0,2,0,0,0,0,2,18,4,18
72,3,19,1,0,0,0,0,0,0,0,0,0
73,3,20,1,0,0,0,0,0,0,0,0,0
74,3,21,0,2,0,0,0,0,2,21,4,21
75,3,22,1,0,0,0,0,0,0,0,0,0
76,3,23,1,0,0,0,0,0,0,0,0,0
77,3,24,0,2,0,0,0,0,2,24,4,24
78,3,25,1,0,0,0,0,0,0,0,0,0
